00601,  375
00602,  385
00603,  391
00606,	278
00610,	424
00612,	394
00616,	459
00617,	451
00622,	547
00623,	402
00624,	418
00627,	399
00631,	252
00637,	428
00638,	381
00641,	386
00646,	658
00647,	602
00650,	448
00652,	456
00653,	386
00656,	343
00659,	428
00660,	405
00662,	485
00664,	373
00667,	433
00669,	393
00670,	292
00674,	471
00676,	410
00677,	423
00678,	442
00680,	392
00682,	380
00683,	371
00685,	379
00687,	493
00688,	431
00690,	550
00692,	523
00693,	548
00698,	381
00703,	425
00704,	353
00705,	451
00707,	361
00714,	459
00715,	315
00716,	402
00717,	320
00718,	408
00719,	477
00720,	358
00723,	351
00725,	472
00727,	673
00728,	465
00729,	518
00730,	372
00731,	386
00735,	462
00736,	458
00738,	468
00739,	505
00740,	501
00741,	638
00745,	559
00751,	365
00754,	465
00757,	408
00765,	614
00766,	345
00767,	412
00769,	464
00771,	470
00772,	364
00773,	469
00775,	621
00777,	415
00778,	610
00780,	347
00782,	366
00783,	463
00784,	424
00791,	431
00794,	392
00795,	431
00901,	499
00907,	715	
00909,	454
00911,	672
00912,	550
00913,	172
00915,	406
00917,	446
00918,	241
00920,	632
00921,	543
00923,	394
00924,	384
00925,	452
00926,	610
00927,	532
00949,	558
00952,	556
00953,	609
00956,	552
00957,	511
00959,	555
00961,	479
00962,	266
00965,	425
00966,	694
00968,	851	
00969,	809	
00971,	536
00976,	522
00979,	773	
00982,	627
00983,	571
00985,	478
00987,	666
01001,	975	
01002,	1206	
01003,	1150	
01005,	926	
01007,	921	
01008,	831	
01010,	773	
01011,	881	
01012,	1106	
01013,	840	
01020,	839	
01022,	1268	
01026,	786	
01027,	912	
01028,	851	
01029,	633
01030,	780	
01031,	696
01032,	1352	
01033,	786	
01035,	1072	
01036,	913	
01038,	1035	
01039,	1004	
01040,	742	
01050,	988	
01054,	1029	
01056,	884	
01057,	844	
01060,	1042	
01062,	879	
01068,	1175	
01069,	669
01070,	633
01071,	882	
01072,	1321	
01073,	979	
01075,	927	
01077,	929	
01079,	1323	
01080,	840	
01081,	861	
01082,	752	
01083,	878	
01085,	913	
01088,	980	
01089,	840	
01094,	484
01095,	718	
01096,	883	
01098,	775	
01103,	813	
01104,	797	
01105,	720	
01106,	1261	
01107,	658
01108,	918	
01109,	907	
01118,	910	
01119,	934	
01129,	1018	
01151,	891	
01201,	803	
01220,	642
01222,	790	
01223,	1115	
01224,	720	
01225,	822	
01226,	872	
01230,	928	
01235,	727	
01237,	1217	
01238,	761	
01240,	781	
01245,	977	
01247,	686
01253,	625
01254,	1170	
01255,	706
01256,	792	
01257,	1013	
01259,	1107	
01262,	958	
01264,	1250	
01266,	1621	
01267,	895	
01301,	837	
01330,	900	
01331,	760	
01337,	1172	
01339,	787	
01340,	1006	
01341,	1196	
01342,	1135	
01344,	725	
01346,	967	
01349,	763	
01350,	900	
01351,	852	
01354,	829	
01355,	1047	
01360,	782	
01364,	733	
01366,	734	
01367,	1300	
01368,	1164	
01370,	822	
01373,	1027	
01375,	1222	
01376,	787	
01378,	1088	
01379,	917	
01420,	912	
01430,	961	
01431,	1243	
01432,	887	
01434,	938	
01436,	549
01440,	767	
01450,	1157	
01451,	1375	
01452,	1263	
01453,	877	
01460,	1257	
01462,	1577	
01463,	1177	
01464,	971	
01469,	847	
01473,	1113	
01474,	1125	
01475,	879	
01501,	986	
01503,	1067	
01504,	853	
01505,	1065	
01506,	930	
01507,	902	
01510,	1045	
01515,	867	
01516,	1068	
01518,	685
01519,	997	
01520,	1161	
01521,	1214	
01522,	1000	
01523,	1123	
01524,	856	
01527,	982	
01529,	985	
01531,	1025	
01532,	1328	
01534,	749	
01535,	803	
01536,	1065	
01537,	866	
01540,	801	
01541,	1114	
01542,	1063	
01543,	907	
01545,	1227	
