00601	$375	$525
00602	$385	$539
00603	$391	$547
00606	$278	$389
00610	$424	$594
00612	$394	$552
00616	$459	$643
00617	$451	$631
00622	$547	$766
00623	$402	$563
00624	$418	$585
00627	$399	$559
00631	$252	$353
00637	$428	$599
00638	$381	$533
00641	$386	$540
00646	$658	$921
00647	$602	$843
00650	$448	$627
00652	$456	$638
00653	$386	$540
00656	$343	$480
00659	$428	$599
00660	$405	$567
00662	$485	$679
00664	$373	$522
00667	$433	$606
00669	$393	$550
00670	$292	$409
00674	$471	$659
00676	$410	$574
00677	$423	$592
00678	$442	$619
00680	$392	$549
00682	$380	$532
00683	$371	$519
00685	$379	$531
00687	$493	$690
00688	$431	$603
00690	$550	$770
00692	$523	$732
00693	$548	$767
00694	-	**
00698	$381	$533
00703	$425	$595
00704	$353	$494
00705	$451	$631
00707	$361	$505
00714	$459	$643
00715	$315	$441
00716	$402	$563
00717	$320	$448
00718	$408	$571
00719	$477	$668
00720	$358	$501
00723	$351	$491
00725	$472	$661
00727	$673	$942
00728	$465	$651
00729	$518	$725
00730	$372	$521
00731	$386	$540
00735	$462	$647
00736	$458	$641
00738	$468	$655
00739	$505	$707
00740	$501	$701
00741	$638	$893
00745	$559	$783
00751	$365	$511
00754	$465	$651
00757	$408	$571
00765	$614	$860
00766	$345	$483
00767	$412	$577
00769	$464	$650
00771	$470	$658
00772	$364	$510
00773	$469	$657
00775	$621	$869
00777	$415	$581
00778	$610	$854
00780	$347	$486
00782	$366	$512
00783	$463	$648
00784	$424	$594
00786	-	**
00791	$431	$603
00794	$392	$549
00795	$431	$603
00901	$499	$699
00906	-	**
00907	$715	$1,001
00909	$454	$636
00911	$672	$941
00912	$550	$770
00913	$172	$241
00915	$406	$568
00917	$446	$624
00918	$241	$337
00920	$632	$885
00921	$543	$760
00923	$394	$552
00924	$384	$538
00925	$452	$633
00926	$610	$854
00927	$532	$745
00934	-	**
00936	-	**
00949	$558	$781
00950	-	**
00951	-	**
00952	$556	$778
00953	$609	$853
00956	$552	$773
00957	$511	$715
00959	$555	$777
00960	-	**
00961	$479	$671
00962	$266	$372
00965	$425	$595
00966	$694	$972
00968	$851	$1,191
00969	$809	$1,133
00971	$536	$750
00976	$522	$731
00979	$773	$1,082
00982	$627	$878
00983	$571	$799
00985	$478	$669
00987	$666	$932
01001	$975	$1,365
01002	$1,206	$1,688
01003	$1,150	$1,610
01005	$926	$1,296
01007	$921	$1,289
01008	$831	$1,163
01009	-	**
01010	$773	$1,082
01011	$881	$1,233
01012	$1,106	$1,548
01013	$840	$1,176
01020	$839	$1,175
01022	$1,268	$1,775
01026	$786	$1,100
01027	$912	$1,277
01028	$851	$1,191
01029	$633	$886
01030	$780	$1,092
01031	$696	$974
01032	$1,352	$1,893
01033	$786	$1,100
01034	-	**
01035	$1,072	$1,501
01036	$913	$1,278
01037	-	**
01038	$1,035	$1,449
01039	$1,004	$1,406
01040	$742	$1,039
01050	$988	$1,383
01053	-	**
01054	$1,029	$1,441
01056	$884	$1,238
01057	$844	$1,182
01060	$1,042	$1,459
01062	$879	$1,231
01063	-	**
01066	-	**
01068	$1,175	$1,645
01069	$669	$937
01070	$633	$886
01071	$882	$1,235
01072	$1,321	$1,849
01073	$979	$1,371
01074	-	**
01075	$927	$1,298
01077	$929	$1,301
01079	$1,323	$1,852
01080	$840	$1,176
01081	$861	$1,205
01082	$752	$1,053
01083	$878	$1,229
01084	-	**
01085	$913	$1,278
01086	-	**
01088	$980	$1,372
01089	$840	$1,176
01092	-	**
01093	-	**
01094	$484	$678
01095	$718	$1,005
01096	$883	$1,236
01097	-	**
01098	$775	$1,085
01103	$813	$1,138
01104	$797	$1,116
01105	$720	$1,008
01106	$1,261	$1,765
01107	$658	$921
01108	$918	$1,285
01109	$907	$1,270
01118	$910	$1,274
01119	$934	$1,308
01128	-	**
01129	$1,018	$1,425
01151	$891	$1,247
01199	-	**
01201	$803	$1,124
01220	$642	$899
01222	$790	$1,106
01223	$1,115	$1,561
01224	$720	$1,008
01225	$822	$1,151
01226	$872	$1,221
01229	-	**
01230	$928	$1,299
01235	$727	$1,018
01236	-	**
01237	$1,217	$1,704
01238	$761	$1,065
01240	$781	$1,093
01242	-	**
01243	-	**
01244	-	**
01245	$977	$1,368
01247	$686	$960
01253	$625	$875
01254	$1,170	$1,638
01255	$706	$988
01256	$792	$1,109
01257	$1,013	$1,418
01258	-	**
01259	$1,107	$1,550
01260	-	**
01262	$958	$1,341
01264	$1,250	$1,750
01266	$1,621	$2,269
01267	$895	$1,253
01270	-	**
01301	$837	$1,172
01330	$900	$1,260
01331	$760	$1,064
01337	$1,172	$1,641
01338	-	**
01339	$787	$1,102
01340	$1,006	$1,408
01341	$1,196	$1,674
01342	$1,135	$1,589
01343	-	**
01344	$725	$1,015
01346	$967	$1,354
01347	-	**
01349	$763	$1,068
01350	$900	$1,260
01351	$852	$1,193
01354	$829	$1,161
01355	$1,047	$1,466
01360	$782	$1,095
01364	$733	$1,026
01366	$734	$1,028
01367	$1,300	$1,820
01368	$1,164	$1,630
01370	$822	$1,151
01373	$1,027	$1,438
01375	$1,222	$1,711
01376	$787	$1,102
01378	$1,088	$1,523
01379	$917	$1,284
01420	$912	$1,277
01430	$961	$1,345
01431	$1,243	$1,740
01432	$887	$1,242
01434	$938	$1,313
01436	$549	$769
01438	-	**
01440	$767	$1,074
01450	$1,157	$1,620
01451	$1,375	$1,925
01452	$1,263	$1,768
01453	$877	$1,228
01460	$1,257	$1,760
01462	$1,577	$2,208
01463	$1,177	$1,648
01464	$971	$1,359
01467	-	**
01468	-	**
01469	$847	$1,186
01473	$1,113	$1,558
01474	$1,125	$1,575
01475	$879	$1,231
01501	$986	$1,380
01503	$1,067	$1,494
01504	$853	$1,194
01505	$1,065	$1,491
01506	$930	$1,302
01507	$902	$1,263
01510	$1,045	$1,463
01515	$867	$1,214
01516	$1,068	$1,495
01518	$685	$959
01519	$997	$1,396
01520	$1,161	$1,625
01521	$1,214	$1,700
01522	$1,000	$1,400
01523	$1,123	$1,572
01524	$856	$1,198
01525	-	**
01527	$982	$1,375
01529	$985	$1,379
01531	$1,025	$1,435
01532	$1,328	$1,859
01534	$749	$1,049
01535	$803	$1,124
01536	$1,065	$1,491
01537	$866	$1,212
01540	$801	$1,121
01541	$1,114	$1,560
01542	$1,063	$1,488
01543	$907	$1,270
01545	$1,227	$1,718
01550	$872	$1,221
01560	$1,085	$1,519
01561	-	**
01562	$782	$1,095
01564	$1,181	$1,653
01566	$1,276	$1,786
01568	$978	$1,369
01569	$1,191	$1,667
01570	$830	$1,162
01571	$859	$1,203
01581	$1,362	$1,907
01583	$853	$1,194
01585	$1,291	$1,807
01588	$911	$1,275
01590	$789	$1,105
01602	$1,129	$1,581
01603	$959	$1,343
01604	$1,050	$1,470
01605	$891	$1,247
01606	$996	$1,394
01607	$1,015	$1,421
01608	$746	$1,044
01609	$931	$1,303
01610	$976	$1,366
01611	$971	$1,359
01612	$1,044	$1,462
01701	$1,340	$1,876
01702	$1,195	$1,673
01718	-	**
01719	$958	$1,341
01720	$1,303	$1,824
01721	$1,300	$1,820
01730	$1,703	$2,384
01731	$2,522	$3,531
01740	$972	$1,361
01741	$2,085	$2,919
01742	$1,825	$2,555
01745	-	**
01746	$964	$1,350
01747	$1,140	$1,596
01748	$1,567	$2,194
01749	$1,159	$1,623
01752	$1,245	$1,743
01754	$1,110	$1,554
01756	$1,422	$1,991
01757	$1,022	$1,431
01760	$1,304	$1,826
01770	$1,097	$1,536
01772	$1,328	$1,859
01773	$1,626	$2,276
01775	$1,589	$2,225
01776	$788	$1,103
01778	$1,133	$1,586
01801	$1,405	$1,967
01803	$1,693	$2,370
01810	$1,325	$1,855
01821	$1,310	$1,834
01824	$1,272	$1,781
01826	$1,236	$1,730
01827	$1,375	$1,925
01830	$1,095	$1,533
01832	$1,054	$1,476
01833	$1,295	$1,813
01834	$1,259	$1,763
